"instId";"inst_name";"rgx_match";"rgx_no_match"
0;"NIH";"\bnih\b";NA
-1;"NDSEG";"\bndseg\b";NA
-2;"GRFP";"\bgrfp\b";NA
-3;"NSF";"\bnsf\b";NA
-4;"Other";"\bother\b";NA
1;"Carnegie Mellon University (CMU)";"carnegie|mellon|\bcmu\b";"tepper"
2;"Tepper Business School | Carnegie Mellon University";"tepper";NA
3;"Stanford University";"stanford";"business|gsb"
4;"Stanford Graduate School of Business | Stanford University";"(?=.*stanford)(?=.*(?:business|gsb))";NA
5;"Yale University";"yale";"management|som"
6;"Yale School of Management (SOM) | Yale University";"(?=.*yale)(?=.*(?:management|som))";NA
7;"Cornell University";"cornell";"johnson"
8;"Johnson Graduate School of Management | Cornell University";"(?=.*cornell)(?=.*(?:management|johnson))";NA
9;"Georgia Institute of Technology (Georgia Tech)";"(?:(?=.*georgia)(?=.*tech))|gatech";"business|scheller"
10;"Scheller College of Business - Georgia Institute of Technology (Georgia Tech)";"(?=.*(?:(?:(?=.*georgia)(?=.*tech))|gatech))(?=.*(?:business|scheller))";NA
11;"University of Washington, Seattle (UW)";"wash|(?:(?=.*\buw\b)(?=.*seat))";"wsu|stat|wustl|loui|\bst\b|\bstl\b|georg|gwu|wwu|ewu|argosy|west|cent|east|milwa|bothel|tacoma|steven|point|white|water|olin|american|river|fall|madi|wisc|eau|clair|foster|business"
12;"Foster School of Business | University of Washington, Seattle (UW)";"(?=.*(?:wash|\buw\b|seat))(?=.*foster)";NA
13;"Massachusetts Institute of Technology (MIT)";"\bmit\b|(?:(?=.*mass?a)(?=.*inst)(?=.*tech))";"rmit|sloan|joint|singapore"
14;"Sloan School of Management | Massachusetts Institute of Technology (MIT)";"(?=.*\bmit\b)(?=.*sloan)";NA
15;"University of Massachusetts Amherst (UMass Amherst)";"amherst|u ?mass";"isenberg|boston"
16;"Isenberg School of Management - University of Massachusetts Amherst (UMass Amherst)";"isenberg";NA
17;"University of Michigan, Ann Arbor";"(?:(?=.*ann)(?=.*arbor))|(?:(?=.*uni)(?=.*mich))|umich";"state|west|cent|east|north|tech|michener|dear|flint|broad|ross"
18;"Ross School of Business | University of Michigan, Ann Arbor";"(?=.*mich)(?=.*ross)";NA
19;"University of Texas at Austin (UT Austin)";"austin";"mccombs|business"
20;"McCombs School of Business - University of Texas at Austin (UT Austin)";"mccombs";NA
21;"University of Pennsylvania (UPenn)";"(?:(?=.*penn)(?=.*uni)(?=.*of))|upenn|u penn";"wharton|state|psu"
22;"The Wharton School | University of Pennsylvania (UPenn)";"wharton";NA
23;"University of Southern California (USC)";"(?:(?=.*uni)(?=.*south)(?=.*cal))|\busc\b";"marshal|business|musc"
24;"Marshall School of Business | University of Southern California (USC)";"(?=.*(?:(?:(?=.*uni)(?=.*south)(?=.*cal))|\busc\b))(?=.*marshal)";NA
25;"University of Illinois Urbana-Champaign (UIUC)";"urbana|champaign|\buiuc\b";"business|gies"
26;"Gies College of Business | University of Illinois Urbana-Champaign (UIUC)";"(?:(?=.*(?:urbana|\buiuc\b))(?=.*business))|gies";NA
27;"University of Maryland, College Park (UMD)";"(?=.*maryland)|\bumd\b";"loyol|balti|\bumbc?\b|\barts?\b|robert|smith"
28;"Robert H. Smith School of Business | University of Maryland, College Park (UMD)";"(?=.*smith)(?=.*business)";"queen|glasgow"
29;"University of California, Los Angeles (UCLA)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?:(?=.*los)(?=.*angel)))|\bucla\b";"anders[oe]n|management|stat"
30;"Anderson School of Management | University of California, Los Angeles (UCLA)";"(?=.*(?:(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?:(?=.*los)(?=.*angel)))|\bucla\b))(?=.*anders[oe]n)";NA
31;"Columbia University";"columbia";"british|misso|district|chicago|carol|business|gsb"
32;"Columbia Business School | Columbia University";"(?=.*columbia)(?=.*business)";"british|misso|district|chicago|carol"
33;"Northeastern University (NEU)";"north ?easter|\bneu\b|\bnu\b";"neiu|ill?inois"
34;"Harvard University";"harvard";"business|hbs"
35;"Harvard Business School | Harvard University";"(?:(?=.*harvard)(?=.*business))|hbs";NA
36;"Purdue University";"purdue";"indiana|iupui|krannert|management"
37;"Krannert School of Management | Purdue University";"(?:(?=.*purdue)(?=.*management))|krannert";"indiana|iupui"
38;"Arizona State University (ASU)";"(?:(?=.*ariz)(?=.*stat))|\basu\b";"north|carey|business"
39;"W. P. Carey School of Business | Arizona State University (ASU)";"(?:(?=.*(?:(?:(?=.*ariz)(?=.*stat))|\basu\b))(?=.*business))|carey";NA
40;"University of California, San Diego (UCSD)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?:(?=.*san)(?=.*diego)))|\bucsd\b";"rady|management"
