institution;matched_instId
pennsylvania state university (psu);76
ohio state university (osu);92
university of colorado, boulder;83
purdue university;36
indiana university, bloomington;219
carnegie mellon university (cmu);1
university of california, santa barbara (ucsb);51
university of maryland, college park;27
university of wisconsin, madison;55
university of california, riverside (ucr);259
harvard university;34
university of southern california (usc);23
university of wisconsin, milwaukee;277
cornell university;7
new york university (nyu);138
stanford university;3
suny - stony brook;184
university of california, berkeley (ucb);47
university of california, los angeles (ucla);29
university of illinois, urbana champaign (uiuc);25
university of michigan, ann arbor;17
university of washington, seattle;11
northwestern university;44
university of georgia;172
university of minnesota (umn);62
university of north carolina, chapel hill (unc);80
michigan state university;117
university of virginia (uva);57
washington university - st. louis;129
columbia university;31
suny - buffalo;183
university of chicago;70
boston university;72
binghamton university;292
university of arizona;142
yale university;5
university of california, san francisco (ucsf);247
massachusetts institute of technology (mit);13
duke university;74
syracuse;106
university of alberta;203
suny - albany;289
wake forest university;293
emory university;78
north carolina state university;171
notre dame;132
princeton university;46
loyola university - chicago;341
rice university;90
university of south florida;144
virginia tech;121
university of washington - st louis;129
wayne state university;162
florida state university;145
university of pennsylvania (upenn);21
university college london;240
university of illinois, chicago (uic);42
johns hopkins university (jhu);68
duquesne university;304
university of alabama;316
university of rochester;98
adelphi university;227
university of massachusetts, amherst;15
georgia institute of technology (gatech);9
university of california, davis (ucd);49
london school of economics;238
university of iowa;113
university of waterloo;131
rockefeller university;360
rutgers university;111
texas a & m university (tamu);228
university of texas, austin (ut austin);19
university of cincinatti;182
university of oregon;85
university of florida;140
florida international university;216
nova southeastern university;276
university of western ontario;243
oregon state university;87
university of akron;257
university of connecticut;148
eastern michigan university;205
university of pittsburgh;66
clemson university;159
temple university;94
american university;197
university of kansas;177
university of north texas;252
university of arkansas;179
vanderbilt university;96
university of california, san diego (ucsd);40
fordham university;154
catholic university of america;370
university of texas - dallas;302
brown university;61
georgia state university;175
miami university (ohio);217
university of cincinnati;182
colorado state university;195
baylor university;163
case western reserve university (cwru);254
baylor college of medicine;164
university of california, santa cruz (ucsc);52
university of kentucky;124
university of california, irvine (uci);53
university of new mexico;222
university of toledo;364
kent state university;156
ohio university;236
marquette university;193
university of houston;198
tulane;188
university of utah;133
university of denver;190
boston college;104
georgetown;119
lehigh university;186
george washington university;97
university of texas southwestern medical center at dallas;23
university of cambridge;174
university of mississippi;325
cuny graduate center;137
northwestern university - kellogg;44
university of toronto;64
brandeis university;136
imperial college london;239
california institute of technology (caltech);82
arizona state university (asu);38
washington state university;211
claremont graduate university;261
george mason university;165
montana state university bozeman;313
rensselaer polytechnic institute (rpi);210
university of louisville;275
bowling green state university;187
london business school;241
insead;256
saint louis university;344
suny - binghamton;292
university of oklahoma;356
university of south carolina;201
university of virginia - charlottesville;57
depaul university;150
fordham university - rose hill;154
iowa state university;115
york university;329
auburn university;153
virginia maryland regional college of vet med / va tech;27
university of central florida (ucf);214
rhode island school of design;350
mcgill university;102
university of memphis;189
university of vermont;265
university of delaware;146
oxford university;100
emerson college;170
kansas state university;178
university of british columbia;108
university of montana;312
louisiana state university;268
university of calgary;234
tufts;123
cambridge university uk;174
dartmouth college;196
northwestern university - medill;44
clarkson university;301
western michigan university;204
queens university;366
florida atlantic university;215
columbia university, teachers college;31
northern illinois university;279
portland state university;89
san diego state university;281
drexel university;160
indiana university - purdue;221
chapman university;288
university of rhode island;349
colorado state university - fort collins;195
lewis and clark college;299
simon fraser university;185
university of miami;218
university of wyoming;282
sauder;108
villanova;286
university of oxford;100
san jose state university;348
loyola - maryland;342
university of guelph;362
pratt institute;167
utah state university;135
indiana state university;219
chicago theological seminary;70
mississippi state university;324
columbia college chicago;70
clark university;298
university of southern california - marshall;23
west virginia university;246
baruch college - cuny;137
purdue - west lafayette;36
georgia institute of technology;9
washington university in st. louis;129
northeastern university;33
suny at stony brook;184
uiuc`;25
concordia university;296
university of maryland - college;27
suffolk university;307
american university(sis);197
lehigh;186
georgetown university;119
texas a&m university;228
mcgill;102
tufts university;123
dartmouth;196
illinois state;278
university of albany;289
syracuse university;106
new york university - wagner school of public service;138
tufts university (sackler school);123
clark u;298
suny-albany;289
university of minnesota, twin cities;62
university of georgia - athens;172
university of washington;11
university of michigan;17
london school of economics (lse);238
syracuse university (maxwell);106
pennsylvania state university;76
indiana university, bloomington (iub);219
neu;33
university of north carolina, greensboro;354
university of colorado health sciences center (denver);192
chicago university;70
tufts (sackler school);123
waterloo;131
chicago;70
texas a&m university-college station;228
rhode island college;349
columbia, the teachers college;31
u penn;21
mcmaster university;151
york university (canada);329
university of denver (gsis);190
nyu wagner;138
radford university;283
nc state;171
university of north carolina - greensboro;354
texas a&m univ.;228
city university of new york (cuny);137
old dominion university;262
university of colorado - denver;192
u minnesota;62
university of alabama, birmingham;317
suny-buffalo;183
university of minnesota, institute of child development;62
university of leeds;83
weill cornell medical college;7
university of west alabama;320
queens university (canada);366
indiana university-- bloomington;219
u of wisconsin-milwaukee;277
u of kentucky;124
duke university / fuqua school of business;74
emerson;170
rockefeller;360
jhu;68
clemson;159
london business school - lbs;241
northwestern u.;44
purdue - west lafeyette;36
university of pennsylvania, wharton;21
michigan state uni.;117
rochester;98
george washington;97
universtiy of pennsylvania gse;21
suny stony brook;184
rice;90
wharton, u penn;21
caltech baby;82
wharton u. penn;21
university of michiganã¢â‚¬â€œann arbor;17
wharton;21
minnesota;62
cambridge university;174
university of illinois-urbana-champaign;25
maryland;27
university of pennsylvania (wharton);21
u of iowa;113
michigan state;117
ok it\\\'s princeton\\\'s turn again.;46
university of virginia, charlottesville;57
rutgers state university, new brunswick;111
university of michigan aa;17
cambridge;174
graduate center of cuny;137
georgia state univ;175
university of new hampshire -- durham;310
suny albany;289
indiana university;219
cuny grad center;137
umass;15
washington university- st. louis;129
harvard reply;34
michigan-ann arbor;17
princeton unicersity;46
university of michigan -- ann arbor;17
university of michigan-- ann arbor;17
university of illinois - urbana/champaign;25
brandeis;136
toronto;64
new york uinversity;138
washington university;11
universitz of minnesota;62
umichigan ann arbor;17
florida state;145
university of michigan - ann arbo;17
suny buffalo;183
northwestern university (kellogg);44
university of illinois champaign-urbana;25
tulane university;188
university of california, los angeles (ucla) - anderson;29
upenn - wharton;21
texas tech;311
iowa;113
rutgers univ, new brunswicks;111
duke - fuqua;74
duke (fuqua);74
kellogg;44
northwestern university-kellogg;44
arizona state;38
michigan-- ann arbor;17
university of maryland;27
u pennsylvania;21
u of chicago;70
suny- buffalo;183
stanford gsb;3
u georgia;172
rochester university;98
suny-stony brook;184
university of california, riverside;259
university of washington -- seattle;11
columbia teacher\\\'s college;31
university of arizona, tempe;142
indiana-bloomington;219
northwestern  university;44
ui urbana champaign;25
carneghie mellon univ;1
wharton u. of penn.;21
university of chicago gsb;70
u. of chicago;70
oxford;100
columbia business school;31
carnegie mellon (tepper);1
u mass medical school worcester;15
u of indiana;219
ncsu;171
chicago gsb;70
u of rochester;98
university of washington- seattle;11
univ of minnesota;62
suny binghamton;292
duke nicholas school of the environment;74
loyola university-chicago;341
university washington seattle;11
indiana university -- bloomington;219
pittsburgh;66
claremont graduate school;261
harvard (kennedy);34
university of texas, dallas (ut dallas);302
harvard, kennedy school of government;34
umichigan, ann arbor;17
indiana;219
umn;62
university of massachusetts boston;290
northwestern university (kellogg) (il);44
