major;matched_majorId
political science;65
industrial engineering -masters;77
social work;16
communication;89
clinical psychology;3
biological sciences;85
history;19
bioengineering;41
computational finance;62
comparative biomedical sciences;8
materials science and engineering;69
linguistics;54
developmental psychology;2
library and information science - masters;79
cell and molecular biology;85
economics;1
industrial engineering- master in operations research;77
anthropology;39
bioinformatics;90
business (marketing);30
international affairs - pacific;53
econ;1
biological sciences in public health;85
neurobiology - ph. d.;85
english;10
urban planning;33
computer science;8
sociology;15
public policy;66
molecular and cellular developmental biology;85
chemistry;68
electrical engineering (hst);40
counseling psychology;4
finance;62
mathematics;20
history - east asia;19
philosophy;13
geology - phd;44
electrical engineering;40
physics;61
chemical engineering;36
biomedical engineering;41
electrical and computer engineering;51
industrial engineering;77
statistics;37
mass communication;89
ece;51
school psychology;58
communications;89
german language and literature;75
electronic and computer engineering;51
civil and environmental engineering;47
business economics;1
ece master;51
molecular, cellular and developmental biology;85
school psych;58
comparative literature;84
economics option b;1
biostatistics;52
psychology (social/personality);5
civil engineering;47
mechanical engineering;17
applied mathematics;22
finance phd;62
mechanical engineering - masters;17
astronomy;31
medical anthropology ph.d;39
creative writing;63
biology;85
french (ph.d.);72
chemical engineering - ph. d.;36
cognitive psychology;2
social psychology;5
psychology;2
philosophy - masters;13
psychology (social);5
english- phd;10
english literature - master\'s;11
department of chemistry - ph.d.;68
molecular genetics and microbiology;85
microbiology and immunology;85
chemistry (organic);68
management;88
english- masters;10
biological and biomedical sciences;85
neuroscience;42
aerospace engineering;70
division of biological sciences;85
molecular & cell biology - phd;85
architecture;33
electronic engineering and computer science;51
communication studies - masters;89
cognitive neuroscience;42
microbiology - phd;85
physics and astronomy;31
molecular microbiology;85
microbiology;85
history phd;19
classics;91
environmental - philosophy;13
public administration;76
germanic language & literature;75
mathematics phd;20
foreign language and literature (spanish translation) - masters;73
english-phd;10
mathematical modelling;20
chemistry (inorganic);68
electrical engineering- masters;40
painting;29
electrical engineering / computer science (eecs);51
chemical engineering-doctor;36
mechanical engineering - phd;17
history - phd;19
molecular biology-phd;85
genomics and computational biology;85
molecular and cell biology;85
history (medieval) -- phd;19
public health (epidemiology);28
biological engineering;85
accounting;43
electrical engineering & computer science (eecs);51
creating writing;63
i/o psychology - phd;7
finance-masters;62
spanish;73
industrial and operations engineering;77
english phd;10
english - literature studies;11
english--phd;10
electrical and computer engineering ms;51
philosophy ph.d.;13
library science - masters;79
philosophy phd;13
mechanical and aerospace engineering;18
mechanical and aerospace engineering (phd);18
spanish literature;73
applied physics;61
geograpgy - phd;45
materials science-phd;69
pathobiology - phd;85
tri-i computational biology;85
clinical psychology - masters;3
clinical psychology - ph.d.;3
english ph.d.;10
english literature;11
i/o psychology;7
finance - phd;62
english (ph.d.);10
english lit - phd;11
electrical engineering and computer science;51
english- ph.d;10
mathematics - phd;20
health psychology;2
information and library science - phd;79
mathematics (phd);20
finance-phd;62
physics / astronomy;31
history -- medieval;19
department of urban and regional planning;33
environmental engineering;47
english language and literature;11
chemistry-phd;68
english literature ph.d.;11
history of science;19
developmental psychology - phd;2
philosophy-phd;13
industrial and systems engineering;77
educational psychology;86
chemistry (phd);68
international relations;78
biological sciences division;85
experimental health psychology;6
library science;79
geology & geophysics;44
biological/biomedical sciences;85
geology;44
geography;45
experimental psychology;6
art history;27
msc financial mathematics;23
finance ph.d.;62
public administration in public and nonprofit management;76
computational biology and medicine (cbm);85
physics & astronomy;31
computational biology & medicine;85
french;72
philosophy (phd);13
joint cmu-pitt program in computational biology;85
public policy (domestic);66
sculpture;50
ecology & evolutionary biology;85
plant biology phd;85
organic chemistry;68
plant biology;85
educational psychology (learning;86
social/personality psychology;5
agricultural and resource economics;59
applied economics;1
materials science (ph.d);69
biochemistry, cell biology, and molecular biology;85
edu psych;86
developmental psychology phd.;2
information and library science;79
nuin - neuroscience phd program;42
molecular cell biology;85
cognitive and neural sciences (specialty in social psychology);5
psy.d - clinical psychology;3
dbbs - neuroscience;42
electrical engineering ms/phd;40
industrial and manufacturing systems engineering;77
industrial & manufacturing engineering;77
computer science and engineering;8
anthropology (phd);39
computer science - lti;8
material science and engineering;69
computer science engineering;8
urban and regional planning;33
creative writing - fiction;35
neuropsychology-clinical track;3
eecs;51
personality psychology (personality and the social context);5
evolutionary psychology;2
psychology (clinical);3
computational biology (tri-i program);85
financial mathematics;23
cognition and neuroscience;42
english lit;11
creative writing - poetry;49
eecs--ee(s);51
public policy/political science;67
plant and microbial biology;85
comparative literature and cultural studies (csds);84
agricultural economics;59
goverment and politics (political science);65
geology (earth and planetary sciences) joint program w/ whoi;44
sociology and social policy;15
electrical engg;40
molecular/cellular biology;85
computational and applied mathematics;22
psychology- individual differences, etc.;2
creative writing (fiction);35
material science;69
electrical engineering - systems;40
manufacturing systems engineering;77
social policy;15
clincial psychology;3
electrical and system engineering;40
geology and planetary;44
materials science & engineering;69
industrial engineering & managemet sciences;77
industrial engineering & operations research;77
computer science and robotics;8
electircal and computer engineering;51
industrial & systems engineering;77
public affairs;53
business - marketing;30
marketing;30
history (u,s.);19
materials science;69
materials science &engineering;69
economic;1
mechanical eng. and mat sc.;17
biology/medicine;85
creative writing--poetry;49
social work and economics;16
history and judaic studies;19
molecular, cellular and structural biology;85
biophyscis & comp biology;85
english - creative writing emphasis;63
engineering science and mechanics;17
biochemistry, molecular biology, and biophysics program;85
communication- annenberg school;89
chemistry phd;68
communication arts - film;89
english and comp. lit;11
clincal psychology;3
communication phd - media/cultural studies;89
cell biology & molecular genetics (cbmg);85
american history;19
electronical and computer engineering;51
creative writing (poetry);49
computational and statistical learning (cald);37
chemistry & chemical biology;85
political science (comparative politics);65
landscape architecture;33
computer science and human computer interaction;8
anthropology (cultural);39
french joint phd w/ifs;72
electrical computer engineering;51
government/political science;65
women\'s studies/english;10
medical anthropology;39
materials;69
operations research and industrial engineering;77
electrical engg.;40
neurobiology and behavior;85
management & organizations;88
international relations/public;78
electrical engineering & computer science;51
quantitative computational finance;62
creative writing-poetry;49
creative writing, fiction;35
economics (msc research);1
creative writing fiction;35
history of consciousness;19
urban + regional planning;33
german;75
psychology-social;5
journalism;64
neurobiology & behaviour;85
publishing & writing;83
economics msc;1
publishing and writing;83
informatics in biology and medicine;85
mechanical & aerospace engineering;18
economics (social science);1
architecture (cd);33
geophysics phd;44
communication and culture;89
mass media and communication;89
quantitative and computational finance;62
creative writing- fiction;35
mechanical and aerospace eng;18
electrial and computer engineering;51
aeronautics and astronautics;70
political science (poir);65
creative writing, nonfiction;60
graduate program in biology;85
econ (research);1
english language & literature;11
economics mres/phd track 1;1
history (u.s.);19
managerial econ and strategy;1
cultural anthropology;39
economics (track1);1
biomedical sciences -microbiology, immunology and infectious disease;85
anthropology (ethnology);39
anthropology (social);39
anthropology (subfield: arcaeology);39
economics (track 1);1
library and information science;79
economics track 1;1
economics mres/phd track 1 phd;1
mathematics (applied group);22
economics (research);1
logic and philosophy of science;13
urban planning and policy development;33
urban and environmental policy and planning;33
cognition & perception (psychology);2
creative writing--fiction;35
management (organizational behavior and industrial relations);88
